map/Prop_tyre002 (5)/Prop_tyre002_LOD0,0,100.84,12.45918,67.801,-0.7071068,0,0,0.7071068,1,0.9999999,0.7624497,7.450581E-08,-0.003329217,0.1963031,0.4507256,0.4512901,0.1966264
map/Prop_barrel002a/Prop_barrel002a_LOD0,1,150.208,18.072,81.465,0.1074333,-0.2575476,-0.3124808,0.9080105,0.9999999,1,0.9999999,4.470348E-08,-1.490116E-08,0.5083958,0.3462037,0.3426799,0.5102829
map/Prop_fish002c (1)/Prop_fish002c_LOD0,2,77.523,12.53,80.684,-0.1901878,-0.6810496,-0.6810496,0.1901878,0.9999998,0.9999998,0.9999998,-7.450581E-08,-1.862645E-08,0.02147577,0.2229961,0.05763754,0.02147577
map/Prop_fish002c/Prop_fish002c_LOD0,3,77.4388,12.535,80.58509,0.6622447,-0.2478547,-0.2478547,-0.6622447,1,1,0.9999999,-7.450581E-08,-1.862645E-08,0.02147577,0.2229961,0.05763754,0.02147577
map/Prop_fish002a/Prop_fish002a_LOD0,4,77.02234,12.489,81.15863,0.5656241,-0.4243459,-0.4243459,-0.5656241,1,1,1,-7.450581E-08,1.862645E-08,0.03373625,0.2961793,0.07572058,0.03232874
map/Prop_box001/Prop_box001_LOD0,5,94.48682,12.48855,44.04292,-0.7026877,0.07893042,0.07893042,0.7026877,1,1,1,5.960464E-08,0,0.9187703,1.615798,0.8544652,0.9245427
map/Prop_box001/Prop_box001_LOD1,5,94.48682,12.48855,44.04292,-0.7026877,0.07893042,0.07893042,0.7026877,1,1,1,0,-0.002213985,0.9187703,1.604228,0.847677,0.9245427
map/Prop_box001/Prop_box001_LOD2,5,94.48682,12.48855,44.04292,-0.7026877,0.07893042,0.07893042,0.7026877,1,1,1,0,-0.002213985,0.9187703,1.604228,0.847677,0.9245427
map/Prop_partition001b (5)/Prop_partition001b_LOD0,6,89.411,12.375,74.866,-0.7071068,0,0,0.7071067,1,0.9999999,0.9999999,0.04507625,-0.03104435,0.7114522,1.328757,0.1181215,0.7155495
map/Prop_partition001b (4)/Prop_partition001b_LOD0,7,109.044,12.337,78.49,-0.5000001,0.5,0.5000001,0.5,1,1,0.9999999,0.04507625,-0.03104435,0.7114522,1.328757,0.1181215,0.7155495
map/Prop_partition001b (3)/Prop_partition001b_LOD0,8,105.231,12.384,74.452,-0.7071068,0,0,0.7071067,1,0.9999999,0.9999999,0.04507625,-0.03104435,0.7114522,1.328757,0.1181215,0.7155495
map/Prop_partition001b (2)/Prop_partition001b_LOD0,9,97.078,12.388,74.236,-0.6801888,0.1932442,0.1932443,0.6801887,1,1,0.9999999,0.04507625,-0.03104435,0.7114522,1.328757,0.1181215,0.7155495
map/Prop_partition001b (1)/Prop_partition001b_LOD0,10,85.614,12.48855,84.959,-0.4898003,0.5099958,0.5099958,0.4898002,0.9999999,0.9999999,0.9999999,0.04507625,-0.03104435,0.7114522,1.328757,0.1181215,0.7155495
map/Prop_trash004/Prop_trash004_LOD0,11,77.478,12.52296,80.632,-0.2778696,-0.6502218,-0.6502219,0.2778696,0.9999998,0.9999997,0.9999998,0,0,0.1911078,0.3804214,0.2245081,0.1905835
map/Prop_lifering001/Prop_lifering001_LOD0,12,76.41,12.11421,80.786,-0.5000001,-0.5,-0.5000001,0.5,1,1,0.9999999,-0.01889417,-0.001809951,0.2876184,0.3076728,0.06603605,0.2887786
map/Prop_lifering001/Prop_lifering001_LOD1,12,76.41,12.11421,80.786,-0.5000001,-0.5,-0.5000001,0.5,1,1,0.9999999,-0.01919107,-0.003401885,0.2876183,0.3073759,0.06412058,0.2876145
map/Prop_lifering001/Prop_lifering001_LOD2,12,76.41,12.11421,80.786,-0.5000001,-0.5,-0.5000001,0.5,1,1,0.9999999,-0.009266853,-0.008814309,0.2876183,0.2968814,0.06759977,0.2876145
map/Prop_chair012/Prop_chair012_LOD0,13,78.033,12.52296,81.72499,-0.6132761,-0.3519838,-0.3519838,0.6132759,1,1,1,0,-0.0001928508,0.5754093,0.4440683,0.5813992,0.5706851
map/Prop_chair012/Prop_chair012_LOD1,13,78.033,12.52296,81.72499,-0.6132761,-0.3519838,-0.3519838,0.6132759,1,1,1,0,0.0004469454,0.576226,0.4440683,0.5807594,0.5698684
map/Prop_chair012/Prop_chair012_LOD2,13,78.033,12.52296,81.72499,-0.6132761,-0.3519838,-0.3519838,0.6132759,1,1,1,0,0.0004469454,0.5768352,0.4440683,0.5807594,0.5692592
