root/floor,0,0,0,0,0,0,0,1,10,0.1,10,0,0,0,0.5,0.5,0.5
root/walls/wall,1,0,1.41,-2.73,0,0,0,1,5.61,3.94,0.1,0,0,0,0.5,0.5,0.5
root/walls/wall (1),2,0,1.41,4.53,0,0,0,1,5.61,3.94,0.1,0,0,0,0.5,0.5,0.5
root/walls/wall (2),3,2.5,1.41,0.75,0,0.7071068,0,0.7071068,7.040002,3.94,0.1000001,0,0,0,0.5,0.5,0.5
root/walls/wall (3),4,-2.51,1.41,0.75,0,0.7071068,0,0.7071068,8.260002,3.94,0.1000001,0,0,0,0.5,0.5,0.5
root/Cube,5,-3.83,0.97,0,0,0,0,1,1,1,1,0,0,0,0.5,0.5,0.5
root/Cube (1),6,1.32,0.97,-4.27,0,0,0,1,1,1,1,0,0,0,0.5,0.5,0.5
root/Cube (2),7,3.66,0.97,-0.44,0,0,0,1,1,1,1,0,0,0,0.5,0.5,0.5
root/Cube (3),8,-0.16,0.97,5.61,0,0,0,1,1,1,1,0,0,0,0.5,0.5,0.5
root/Cube (4),9,0.48,1.44,0.68,0,0,0,1,1,1,1,0,0,0,0.5,0.5,0.5
